Name,Type,Power,Toughness,Mana Cost,Colors,Text,Quantity,Standard Legal
"Ashiok, Wicked Manipulator",Legendary Planeswalker — Ashiok,,,{3}{B}{B},B,"If you would pay life while your library has at least that many cards in it, exile that many cards from the top of your library instead.
[+1]: Look at the top two cards of your library. Exile one of them and put the other into your hand.
[−2]: Create two 1/1 black Nightmare creature tokens with ""At the beginning of combat on your turn, if a card was put into exile this turn, put a +1/+1 counter on this token.""
[−7]: Target player exiles the top X cards of their library, where X is the total mana value of cards you own in exile.",1,True
Barrow Naughty,Creature — Faerie,1.0,3.0,{1}{B},B,"Flying
This creature has lifelink as long as you control another Faerie.
{2}{B}: This creature gets +1/+0 until end of turn.",2,True
Eriette's Whisper,Sorcery,,,{3}{B},B,"Target opponent discards two cards. Create a Wicked Role token attached to up to one target creature you control. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1. When this token is put into a graveyard, each opponent loses 1 life.)",1,True
Faerie Dreamthief,Creature — Faerie Warlock,1.0,1.0,{B},B,"Flying
When this creature enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
{2}{B}, Exile this card from your graveyard: You draw a card and you lose 1 life.",1,True
Faerie Fencing,Instant,,,{X}{B},B,Target creature gets -X/-X until end of turn. That creature gets an additional -3/-3 until end of turn if you controlled a Faerie as you cast this spell.,4,True
Feed the Cauldron,Instant,,,{2}{B},B,"Destroy target creature with mana value 3 or less. If it's your turn, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",3,True
Lich-Knights' Conquest,Sorcery,,,{4}{B},B,"Sacrifice any number of artifacts, enchantments, and/or tokens. Return that many creature cards from your graveyard to the battlefield.",1,True
Mintstrosity,Creature — Horror,3.0,1.0,{1}{B},B,"When this creature dies, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",3,True
Rankle's Prank,Sorcery,,,{2}{B}{B},B,"Choose one or more —
• Each player discards two cards.
• Each player loses 4 life.
• Each player sacrifices two creatures of their choice.",1,True
Rat Out,Instant,,,{B},B,"Up to one target creature gets -1/-1 until end of turn. You create a 1/1 black Rat creature token with ""This token can't block.""",1,True
Scream Puff,Creature — Horror,4.0,5.0,{4}{B},B,"Deathtouch
Whenever this creature deals combat damage to a player, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",2,True
Sugar Rush,Instant,,,{1}{B},B,"Target creature gets +3/+0 until end of turn.
Draw a card.",2,True
Sweettooth Witch,Creature — Human Warlock,3.0,2.0,{2}{B},B,"When this creature enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
{2}, Sacrifice a Food: Target player loses 2 life.",3,True
Taken by Nightmares,Instant,,,{2}{B}{B},B,"Exile target creature. If you control an enchantment, scry 2.",1,True
Twisted Sewer-Witch,Creature — Human Warlock,3.0,4.0,{3}{B}{B},B,"When this creature enters, create a 1/1 black Rat creature token with ""This creature can't block."" Then for each Rat you control, create a Wicked Role token attached to that Rat. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1. When this token is put into a graveyard, each opponent loses 1 life.)",1,True
Wicked Visitor,Creature — Nightmare,2.0,2.0,{1}{B},B,"Whenever an enchantment you control is put into a graveyard from the battlefield, each opponent loses 1 life.",1,True
Bestial Bloodline,Enchantment — Aura,,,{1}{G},G,"Enchant creature
Enchanted creature gets +2/+2.
{4}{G}: Return this card from your graveyard to your hand.",1,True
Blossoming Tortoise,Creature — Turtle,3.0,3.0,{2}{G}{G},G,"Whenever this creature enters or attacks, mill three cards, then return a land card from your graveyard to the battlefield tapped.
Activated abilities of lands you control cost {1} less to activate.
Land creatures you control get +1/+1.",1,True
Commune with Nature,Sorcery,,,{G},G,Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.,2,True
Curse of the Werefox,Sorcery,,,{2}{G},G,"Create a Monster Role token attached to target creature you control. When you do, that creature fights up to one target creature you don't control. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has trample. Creatures that fight each deal damage equal to their power to the other.)",1,True
Feral Encounter,Sorcery,,,{G}{G},G,"Look at the top five cards of your library. You may exile a creature card from among them. Put the rest on the bottom of your library in a random order. You may cast the exiled card this turn. At the beginning of the next combat phase this turn, target creature you control deals damage equal to its power to up to one target creature you don't control.",1,True
Gruff Triplets,Creature — Satyr Warrior,3.0,3.0,{3}{G}{G}{G},G,"Trample
When this creature enters, if it isn't a token, create two tokens that are copies of it.
When this creature dies, put a number of +1/+1 counters equal to its power on each creature you control named Gruff Triplets.",1,True
Hamlet Glutton,Creature — Giant,6.0,6.0,{5}{G}{G},G,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
This spell costs {2} less to cast if it's bargained.
Trample
When this creature enters, you gain 3 life.",1,True
The Huntsman's Redemption,Enchantment — Saga,,,{2}{G},G,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Create a 3/3 green Beast creature token.
II — You may sacrifice a creature. If you do, search your library for a creature or basic land card, reveal it, put it into your hand, then shuffle.
III — Up to two target creatures each get +2/+2 and gain trample until end of turn.",1,True
Leaping Ambush,Instant,,,{G},G,Target creature gets +1/+3 and gains reach until end of turn. Untap it.,2,True
Redtooth Genealogist,Creature — Elf Advisor,2.0,3.0,{2}{G},G,"When this creature enters, create a Royal Role token attached to another target creature you control. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has ward {1}.)",1,True
Return from the Wilds,Sorcery,,,{2}{G},G,"Choose two —
• Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
• Create a 1/1 white Human creature token.
• Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",2,True
Rootrider Faun,Creature — Satyr Scout,1.0,3.0,{1}{G},G,"{T}: Add {G}.
{1}, {T}: Add one mana of any color.",3,True
Royal Treatment,Instant,,,{G},G,"Target creature you control gains hexproof until end of turn. Create a Royal Role token attached to that creature. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has ward {1}.)",1,True
Skybeast Tracker,Creature — Giant Archer,2.0,4.0,{3}{G},G,"Reach
Whenever you cast a spell with mana value 5 or greater, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",1,True
Spider Food,Sorcery,,,{2}{G},G,"Destroy up to one target artifact, enchantment, or creature with flying. Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",3,True
Territorial Witchstalker,Creature — Wolf,2.0,3.0,{1}{G},G,"Defender
At the beginning of combat on your turn, if you control a creature with power 4 or greater, this creature gets +1/+0 until end of turn and can attack this turn as though it didn't have defender.",1,True
Titanic Growth,Instant,,,{1}{G},G,Target creature gets +4/+4 until end of turn.,2,True
"Greta, Sweettooth Scourge",Legendary Creature — Human Warrior,3.0,3.0,{1}{B}{G},"B,G","When Greta enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
{G}, Sacrifice a Food: Put a +1/+1 counter on target creature. Activate only as a sorcery.
{1}{B}, Sacrifice a Food: You draw a card and you lose 1 life.",1,True
Experimental Confectioner,Creature — Human Peasant,2.0,3.0,{2}{B},B,"When this creature enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
Whenever you sacrifice a Food, create a 1/1 black Rat creature token with ""This token can't block.""",2,True
Provisions Merchant,Creature — Beast Peasant,3.0,3.0,{2}{G}{G},G,"When this creature enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
Whenever this creature attacks, you may sacrifice a Food. If you do, attacking creatures get +1/+1 and gain trample until end of turn.",2,True
Wildwood Mentor,Creature — Treefolk,1.0,1.0,{2}{G},G,"Whenever a token you control enters, put a +1/+1 counter on this creature.
Whenever this creature attacks, another target attacking creature gets +X/+X until end of turn, where X is this creature's power.",1,True
Another Chance,Instant,,,{2}{B},B,"You may mill two cards. Then return up to two creature cards from your graveyard to your hand. (To mill two cards, put the top two cards of your library into your graveyard.)",4,True
Broodrage Mycoid,Creature — Fungus,4.0,3.0,{3}{B},B,"At the beginning of your end step, if you descended this turn, create a 1/1 black Fungus creature token with ""This token can't block."" (You descended if a permanent card was put into your graveyard from anywhere.)",1,True
Chupacabra Echo,Creature — Beast Horror Spirit,3.0,2.0,{2}{B}{B},B,"Fathomless descent — When this creature enters, target creature an opponent controls gets -X/-X until end of turn, where X is the number of permanent cards in your graveyard.",1,True
Deep Goblin Skulltaker,Creature — Goblin Warrior,2.0,2.0,{2}{B},B,"Menace
At the beginning of your end step, if you descended this turn, put a +1/+1 counter on this creature. (You descended if a permanent card was put into your graveyard from anywhere.)",1,True
Deep-Cavern Bat,Creature — Bat,1.0,1.0,{1}{B},B,"Flying, lifelink
When this creature enters, look at target opponent's hand. You may exile a nonland card from it until this creature leaves the battlefield.",2,True
Fanatical Offering,Instant,,,{1}{B},B,"As an additional cost to cast this spell, sacrifice an artifact or creature.
Draw two cards and create a Map token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery."")",1,True
Greedy Freebooter,Creature — Human Pirate,1.0,1.0,{B},B,"When this creature dies, scry 1 and create a Treasure token. (To scry 1, look at the top card of your library. You may put that card on the bottom. A Treasure token is an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",2,True
Join the Dead,Instant,,,{1}{B}{B},B,"Target creature gets -5/-5 until end of turn.
Descend 4 — That creature gets -10/-10 until end of turn instead if there are four or more permanent cards in your graveyard.",1,True
Malicious Eclipse,Sorcery,,,{1}{B}{B},B,"All creatures get -2/-2 until end of turn. If a creature an opponent controls would die this turn, exile it instead.",1,True
Mephitic Draught,Artifact,,,{1}{B},B,"When this artifact enters or is put into a graveyard from the battlefield, you draw a card and you lose 1 life.",1,True
Ray of Ruin,Sorcery,,,{4}{B},B,"Exile target creature, Vehicle, or nonbasic land. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)",1,True
Screaming Phantom,Creature — Spirit,2.0,2.0,{2}{B},B,"Flying
Whenever this creature attacks, mill a card. (Put the top card of your library into your graveyard.)",2,True
Skullcap Snail,Creature — Fungus Snail,1.0,1.0,{1}{B},B,"When this creature enters, target opponent exiles a card from their hand.",2,True
Starving Revenant,Creature — Spirit Horror,4.0,4.0,{2}{B}{B},B,"When this creature enters, surveil 2. Then for each card you put on top of your library, you draw a card and you lose 3 life.
Descend 8 — Whenever you draw a card, if there are eight or more permanent cards in your graveyard, target opponent loses 1 life and you gain 1 life.",4,True
Terror Tide,Sorcery,,,{2}{B}{B},B,"Fathomless descent — All creatures get -X/-X until end of turn, where X is the number of permanent cards in your graveyard.",1,True
Armored Kincaller,Creature — Dinosaur,3.0,3.0,{2}{G},G,"When this creature enters, you may reveal a Dinosaur card from your hand. If you do or if you control another Dinosaur, you gain 3 life.",4,True
Basking Capybara,Creature — Capybara,1.0,3.0,{1}{G},G,Descend 4 — This creature gets +3/+0 as long as there are four or more permanent cards in your graveyard.,1,True
Cavern Stomper,Creature — Dinosaur,7.0,7.0,{4}{G}{G},G,"When this creature enters, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)
{3}{G}: This creature can't be blocked by creatures with power 2 or less this turn.",2,True
Earthshaker Dreadmaw,Creature — Dinosaur,6.0,6.0,{4}{G}{G},G,"Trample
When this creature enters, draw a card for each other Dinosaur you control.",2,True
"Ghalta, Stampede Tyrant",Legendary Creature — Elder Dinosaur,12.0,12.0,{5}{G}{G}{G},G,"Trample
When Ghalta enters, put any number of creature cards from your hand onto the battlefield.",1,True
Glimpse the Core,Sorcery,,,{1}{G},G,"Choose one —
• Search your library for a basic Forest card, put that card onto the battlefield tapped, then shuffle.
• Return target Cave card from your graveyard to the battlefield tapped.",1,True
Huatli's Final Strike,Instant,,,{2}{G},G,Target creature you control gets +1/+0 until end of turn. It deals damage equal to its power to target creature an opponent controls.,4,True
Hulking Raptor,Creature — Dinosaur,5.0,3.0,{2}{G}{G},G,"Ward {2}
At the beginning of your first main phase, add {G}{G}.",1,True
In the Presence of Ages,Instant,,,{2}{G},G,Reveal the top four cards of your library. You may put a creature card and/or a land card from among them into your hand. Put the rest into your graveyard.,3,True
Intrepid Paleontologist,Creature — Human Druid,2.0,2.0,{1}{G},G,"{T}: Add one mana of any color.
{2}: Exile target card from a graveyard.
You may cast Dinosaur creature spells from among cards you own exiled with this creature. If you cast a spell this way, that creature enters with a finality counter on it. (If a creature with a finality counter on it would die, exile it instead.)",1,True
Ixalli's Lorekeeper,Creature — Human Druid,1.0,1.0,{G},G,{T}: Add one mana of any color. Spend this mana only to cast a Dinosaur spell or activate an ability of a Dinosaur source.,1,True
Jadelight Spelunker,Creature — Merfolk Scout,1.0,1.0,{X}{G},G,"When this creature enters, it explores X times. (To have it explore, reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on that creature, then put the card back or put it into your graveyard.)",1,True
Malamet Battle Glyph,Sorcery,,,{G},G,"Choose target creature you control and target creature you don't control. If the creature you control entered this turn, put a +1/+1 counter on it. Then those creatures fight each other.",1,True
Mineshaft Spider,Creature — Spider,3.0,4.0,{3}{G},G,"Reach
When this creature enters, you may mill two cards. (You may put the top two cards of your library into your graveyard.)",1,True
Nurturing Bristleback,Creature — Dinosaur,5.0,5.0,{5}{G}{G},G,"When this creature enters, create a 3/3 green Dinosaur creature token.
Forestcycling {2} ({2}, Discard this card: Search your library for a Forest card, reveal it, put it into your hand, then shuffle.)",1,True
Pathfinding Axejaw,Creature — Dinosaur,4.0,3.0,{3}{G},G,"When this creature enters, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",3,True
Poison Dart Frog,Creature — Frog,1.0,1.0,{1}{G},G,"Reach
{T}: Add one mana of any color.
{2}: This creature gains deathtouch until end of turn.",2,True
Pugnacious Hammerskull,Creature — Dinosaur,6.0,6.0,{2}{G},G,"Whenever this creature attacks while you don't control another Dinosaur, put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",1,True
River Herald Guide,Creature — Merfolk Scout,3.0,1.0,{2}{G},G,"Vigilance
When this creature enters, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",4,True
Sentinel of the Nameless City,Creature — Merfolk Warrior Scout,3.0,4.0,{2}{G},G,"Vigilance
Whenever this creature enters or attacks, create a Map token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery."")",2,True
Spelunking,Enchantment,,,{2}{G},G,"When this enchantment enters, draw a card, then you may put a land card from your hand onto the battlefield. If you put a Cave onto the battlefield this way, you gain 4 life.
Lands you control enter untapped.",1,True
Staggering Size,Instant,,,{1}{G},G,Target creature gets +3/+3 and gains trample until end of turn.,1,True
Walk with the Ancestors,Sorcery,,,{4}{G},G,Return up to one target permanent card from your graveyard to your hand. Discover 4. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.),1,True
Hidden Nursery,Land — Cave,,,,G,"This land enters tapped.
{T}: Add {G}.
{4}{G}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",2,True
Cerebral Confiscation,Sorcery,,,{2}{B},B,"Choose one —
• Target opponent discards two cards.
• Target opponent reveals their hand. You choose a nonland card from it. That player discards that card.",2,True
Festerleech,Creature — Zombie Leech,1.0,1.0,{B},B,"Whenever this creature deals combat damage to a player, you mill two cards.
{1}{B}: This creature gets +2/+2 until end of turn. Activate only once each turn.",1,True
It Doesn't Add Up,Instant,,,{3}{B}{B},B,Return target creature card from your graveyard to the battlefield. Suspect it. (It has menace and can't block.),1,True
Macabre Reconstruction,Sorcery,,,{3}{B},B,"This spell costs {2} less to cast if a creature card was put into your graveyard from anywhere this turn.
Return up to two target creature cards from your graveyard to your hand.",1,True
"Massacre Girl, Known Killer",Legendary Creature — Human Assassin,4.0,4.0,{2}{B}{B},B,"Menace
Creatures you control have wither. (They deal damage to creatures in the form of -1/-1 counters.)
Whenever a creature an opponent controls dies, if its toughness was less than 1, draw a card.",1,True
Rot Farm Mortipede,Creature — Insect,3.0,4.0,{3}{B},B,"Whenever one or more creature cards leave your graveyard, this creature gets +1/+0 and gains menace and lifelink until end of turn.",1,True
Slimy Dualleech,Creature — Leech,2.0,4.0,{3}{B},B,"At the beginning of combat on your turn, target creature you control with power 2 or less gets +1/+0 and gains deathtouch until end of turn.",2,True
Snarling Gorehound,Creature — Dog,1.0,1.0,{B},B,"Menace
Whenever another creature you control with power 2 or less enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",2,True
Soul Enervation,Enchantment,,,{3}{B},B,"Flash
When this enchantment enters, target creature gets -4/-4 until end of turn.
Whenever one or more creature cards leave your graveyard, each opponent loses 1 life and you gain 1 life.",1,True
Undercity Eliminator,Creature — Gorgon Assassin,3.0,3.0,{3}{B}{B},B,"When this creature enters, you may sacrifice an artifact or creature. When you do, exile target creature an opponent controls.",1,True
Airtight Alibi,Enchantment — Aura,,,{2}{G},G,"Flash
Enchant creature
When this Aura enters, untap enchanted creature. It gains hexproof until end of turn. If it's suspected, it's no longer suspected.
Enchanted creature gets +2/+2 and can't become suspected.",1,True
Archdruid's Charm,Instant,,,{G}{G}{G},G,"Choose one —
• Search your library for a creature or land card and reveal it. Put it onto the battlefield tapped if it's a land card. Otherwise, put it into your hand. Then shuffle.
• Put a +1/+1 counter on target creature you control. It deals damage equal to its power to target creature you don't control.
• Exile target artifact or enchantment.",1,True
Case of the Locked Hothouse,Enchantment — Case,,,{3}{G},G,"You may play an additional land on each of your turns.
To solve — You control seven or more lands. (If unsolved, solve at the beginning of your end step.)
Solved — You may look at the top card of your library any time, and you may play lands and cast creature and enchantment spells from the top of your library.",1,True
Case of the Trampled Garden,Enchantment — Case,,,{2}{G},G,"When this Case enters, distribute two +1/+1 counters among one or two target creatures you control.
To solve — Creatures you control have total power 8 or greater. (If unsolved, solve at the beginning of your end step.)
Solved — Whenever you attack, put a +1/+1 counter on target attacking creature. It gains trample until end of turn.",1,True
Culvert Ambusher,Creature — Wurm Horror,4.0,5.0,{3}{G}{G},G,"When this creature enters or is turned face up, target creature blocks this turn if able.
Disguise {4}{G} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)",1,True
Fanatical Strength,Instant,,,{1}{G},G,Target creature gets +3/+3 and gains trample until end of turn.,3,True
Hard-Hitting Question,Sorcery,,,{G},G,Target creature you control deals damage equal to its power to target creature or planeswalker you don't control.,1,True
Hide in Plain Sight,Sorcery,,,{3}{G},G,"Look at the top five cards of your library, cloak two of them, and put the rest on the bottom of your library in a random order. (To cloak a card, put it onto the battlefield face down as a 2/2 creature with ward {2}. Turn it face up any time for its mana cost if it's a creature card.)",1,True
Loxodon Eavesdropper,Creature — Elephant Detective,3.0,3.0,{3}{G},G,"When this creature enters, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you draw your second card each turn, this creature gets +1/+1 and gains vigilance until end of turn.",1,True
Nervous Gardener,Creature — Dryad,2.0,2.0,{1}{G},G,"Disguise {G} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature is turned face up, search your library for a land card with a basic land type, reveal it, put it into your hand, then shuffle.",1,True
Pick Your Poison,Sorcery,,,{G},G,"Choose one —
• Each opponent sacrifices an artifact of their choice.
• Each opponent sacrifices an enchantment of their choice.
• Each opponent sacrifices a creature with flying of their choice.",2,True
Rubblebelt Maverick,Creature — Human Detective,1.0,1.0,{G},G,"When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
{G}, Exile this card from your graveyard: Put a +1/+1 counter on target creature. Activate only as a sorcery.",2,True
Slime Against Humanity,Sorcery,,,{2}{G},G,"Create a 0/0 green Ooze creature token with trample. Put X +1/+1 counters on it, where X is two plus the total number of cards you own in exile and in your graveyard that are Oozes or are named Slime Against Humanity.
A deck can have any number of cards named Slime Against Humanity.",4,True
They Went This Way,Sorcery,,,{2}{G},G,"Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",3,True
Topiary Panther,Creature — Plant Cat,6.0,5.0,{4}{G}{G},G,"Trample
Basic landcycling {1}{G} ({1}{G}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)",2,True
Tunnel Tipster,Creature — Mole Scout,1.0,1.0,{1}{G},G,"At the beginning of your end step, if a face-down creature entered the battlefield under your control this turn, put a +1/+1 counter on this creature.
{T}: Add {G}.",1,True
Vengeful Creeper,Creature — Plant Elemental,5.0,5.0,{4}{G},G,"Disguise {5}{G} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature is turned face up, destroy target artifact or enchantment an opponent controls.",1,True
Vitu-Ghazi Inspector,Creature — Elf Detective,1.0,3.0,{1}{G},G,"As an additional cost to cast this spell, you may collect evidence 6. (Exile cards with total mana value 6 or greater from your graveyard.)
Reach
When this creature enters, if evidence was collected, put a +1/+1 counter on target creature and you gain 2 life.",1,True
Assassin's Trophy,Instant,,,{B}{G},"B,G","Destroy target permanent an opponent controls. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle.",1,True
Insidious Roots,Enchantment,,,{B}{G},"B,G","Creature tokens you control have ""{T}: Add one mana of any color.""
Whenever one or more creature cards leave your graveyard, create a 0/1 green Plant creature token, then put a +1/+1 counter on each Plant you control.",2,True
Rakish Scoundrel,Creature — Elf Rogue,3.0,3.0,{2}{B}{G},"B,G","Deathtouch
When this creature enters or is turned face up, target creature gains indestructible until end of turn.
Disguise {4}{B/G}{B/G} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)",1,True
Underground Mortuary,Land — Swamp Forest,,,,"B,G","({T}: Add {B} or {G}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",2,True
Blacksnag Buzzard,Creature — Bird,2.0,1.0,{2}{B},B,"Flying
This creature enters with a +1/+1 counter on it if a creature died this turn.
Plot {1}{B} (You may pay {1}{B} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",1,True
Boneyard Desecrator,Creature — Zombie Mercenary,3.0,4.0,{3}{B},B,"Menace
{1}{B}, Sacrifice another creature: Put a +1/+1 counter on this creature. If an outlaw was sacrificed this way, create a Treasure token. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)",3,True
Consuming Ashes,Instant,,,{2}{B}{B},B,"Exile target creature. If it had mana value 3 or less, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",2,True
"Kaervek, the Punisher",Legendary Creature — Human Warlock,3.0,3.0,{1}{B}{B},B,"Whenever you commit a crime, exile up to one target black card from your graveyard and copy it. You may cast the copy. If you do, you lose 2 life. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime. Copies of permanent spells become tokens.)",1,True
Nezumi Linkbreaker,Creature — Rat Warlock,1.0,1.0,{B},B,"When this creature dies, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""",2,True
Rakish Crew,Enchantment,,,{2}{B},B,"When this enchantment enters, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""
Whenever an outlaw you control dies, each opponent loses 1 life and you gain 1 life. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)",2,True
Rooftop Assassin,Creature — Vampire Assassin,2.0,2.0,{3}{B},B,"Flash
Flying, lifelink
When this creature enters, destroy target creature an opponent controls that was dealt damage this turn.",1,True
Rush of Dread,Sorcery,,,{1}{B}{B},B,"Spree (Choose one or more additional costs.)
+ {1} — Target opponent sacrifices half the creatures they control of their choice, rounded up.
+ {2} — Target opponent discards half the cards in their hand, rounded up.
+ {2} — Target opponent loses half their life, rounded up.",1,True
Shoot the Sheriff,Instant,,,{1}{B},B,"Destroy target non-outlaw creature. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws. Everyone else is fair game.)",2,True
"Tinybones, the Pickpocket",Legendary Creature — Skeleton Rogue,1.0,1.0,{B},B,"Deathtouch
Whenever Tinybones deals combat damage to a player, you may cast target nonland permanent card from that player's graveyard, and mana of any type can be spent to cast that spell.",1,True
Treasure Dredger,Creature — Human Rogue,2.0,2.0,{1}{B},B,"{1}, {T}, Pay 1 life: Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",1,True
"Vadmir, New Blood",Legendary Creature — Vampire Rogue,2.0,2.0,{1}{B},B,"Whenever you commit a crime, put a +1/+1 counter on Vadmir. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)
As long as Vadmir has four or more +1/+1 counters on it, it has menace and lifelink.",2,True
Vault Plunderer,Creature — Human Rogue,3.0,1.0,{2}{B},B,"When this creature enters, target player draws a card and loses 1 life.",3,True
Ankle Biter,Creature — Snake,1.0,1.0,{G},G,Deathtouch,2,True
Betrayal at the Vault,Instant,,,{4}{G}{G},G,Target creature you control deals damage equal to its power to each of two other target creatures.,1,True
Bristlepack Sentry,Creature — Plant Wolf,3.0,3.0,{1}{G},G,"Defender
As long as you control a creature with power 4 or greater, this creature can attack as though it didn't have defender.",4,True
"Bristly Bill, Spine Sower",Legendary Creature — Plant Druid,2.0,2.0,{1}{G},G,"Landfall — Whenever a land you control enters, put a +1/+1 counter on target creature.
{3}{G}{G}: Double the number of +1/+1 counters on each creature you control.",2,True
Cactarantula,Creature — Plant Spider,6.0,5.0,{4}{G}{G},G,"This spell costs {1} less to cast if you control a Desert.
Reach
Whenever this creature becomes the target of a spell or ability an opponent controls, you may draw a card.",2,True
Colossal Rattlewurm,Creature — Wurm,6.0,5.0,{2}{G}{G},G,"Colossal Rattlewurm has flash as long as you control a Desert.
Trample
{1}{G}, Exile this card from your graveyard: Search your library for a Desert card, put it onto the battlefield tapped, then shuffle.",1,True
Drover Grizzly,Creature — Bear Mount,4.0,2.0,{2}{G},G,"Whenever this creature attacks while saddled, creatures you control gain trample until end of turn.
Saddle 1 (Tap any number of other creatures you control with total power 1 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",2,True
Freestrider Commando,Creature — Centaur Mercenary,3.0,3.0,{2}{G},G,"This creature enters with two +1/+1 counters on it if it wasn't cast or no mana was spent to cast it.
Plot {3}{G} (You may pay {3}{G} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",2,True
Full Steam Ahead,Sorcery,,,{3}{G}{G},G,"Until end of turn, each creature you control gets +2/+2 and gains trample and ""This creature can't be blocked by more than one creature.""",1,True
Giant Beaver,Creature — Beaver Mount,4.0,4.0,{3}{G},G,"Vigilance
Whenever this creature attacks while saddled, put a +1/+1 counter on target creature that saddled it this turn.
Saddle 3 (Tap any number of other creatures you control with total power 3 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",2,True
Gold Rush,Instant,,,{1}{G},G,"Create a Treasure token. Until end of turn, up to one target creature gets +2/+2 for each Treasure you control.",3,True
