name,rarity,color_identity,owned_qty,text,mana_cost
Rot Farm Mortipede,common,['B'],1,"Whenever one or more creature cards leave your graveyard, this creature gets +1/+0 and gains menace and lifelink until end of turn.",{3}{B}
Slimy Dualleech,uncommon,['B'],2,"At the beginning of combat on your turn, target creature you control with power 2 or less gets +1/+0 and gains deathtouch until end of turn.",{3}{B}
Snarling Gorehound,common,['B'],2,"Menace
Whenever another creature you control with power 2 or less enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",{B}
Soul Enervation,uncommon,['B'],1,"Flash
When this enchantment enters, target creature gets -4/-4 until end of turn.
Whenever one or more creature cards leave your graveyard, each opponent loses 1 life and you gain 1 life.",{3}{B}
Toxin Analysis,common,['B'],1,"Target creature gains deathtouch and lifelink until end of turn. Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",{B}
Undercity Eliminator,uncommon,['B'],1,"When this creature enters, you may sacrifice an artifact or creature. When you do, exile target creature an opponent controls.",{3}{B}{B}
Bolrac-Clan Basher,uncommon,['R'],2,"Double strike, trample
Disguise {3}{R}{R} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)",{4}{R}{R}
Case of the Crimson Pulse,rare,['R'],1,"When this Case enters, discard a card, then draw two cards.
To solve — You have no cards in hand. (If unsolved, solve at the beginning of your end step.)
Solved — At the beginning of your upkeep, discard your hand, then draw two cards.",{2}{R}
The Chase Is On,common,['R'],1,"Target creature gets +3/+0 and gains first strike until end of turn. Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",{2}{R}
Concealed Weapon,uncommon,['R'],1,"Equipped creature gets +3/+0.
Disguise {2}{R} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this Equipment is turned face up, attach it to target creature you control.
Equip {1}{R}",{1}{R}
Connecting the Dots,rare,['R'],1,"Whenever a creature you control attacks, exile the top card of your library face down. (You can't look at it.)
{1}{R}, Discard your hand, Sacrifice this enchantment: Put all cards exiled with this enchantment into their owners' hands.",{1}{R}
Demand Answers,common,['R'],4,"As an additional cost to cast this spell, sacrifice an artifact or discard a card.
Draw two cards.",{1}{R}
Expose the Culprit,uncommon,['R'],1,"Choose one or both —
• Turn target face-down creature face up.
• Exile any number of face-up creatures you control with disguise in a face-down pile, shuffle that pile, then cloak them. (To cloak a card, put it onto the battlefield face down as a 2/2 creature with ward {2}. Turn it face up any time for its mana cost if it's a creature card.)",{1}{R}
Frantic Scapegoat,uncommon,['R'],1,"Haste
When this creature enters, suspect it. (It has menace and can't block.)
Whenever one or more other creatures you control enter, if this creature is suspected, you may suspect one of the other creatures. If you do, this creature is no longer suspected.",{R}
Gearbane Orangutan,common,['R'],2,"Reach
When this creature enters, choose one —
• Destroy up to one target artifact.
• Sacrifice an artifact. If you do, put two +1/+1 counters on this creature.",{2}{R}
Goblin Maskmaker,common,['R'],2,"Whenever this creature attacks, face-down spells you cast this turn cost {1} less to cast.",{R}
Innocent Bystander,common,['R'],2,"Whenever this creature is dealt 3 or more damage, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",{1}{R}
Offender at Large,common,['R'],2,"Disguise {4}{R} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature enters or is turned face up, up to one target creature gets +2/+0 until end of turn.",{4}{R}
Blood Spatter Analysis,rare,"['B', 'R']",1,"When this enchantment enters, it deals 3 damage to target creature an opponent controls.
Whenever one or more creatures die, mill a card and put a bloodstain counter on this enchantment. Then sacrifice it if it has five or more bloodstain counters on it. When you do, return target creature card from your graveyard to your hand.",{B}{R}
Deadly Complication,uncommon,"['B', 'R']",1,"Choose one or both —
• Destroy target creature.
• Put a +1/+1 counter on target suspected creature you control. You may have it become no longer suspected.",{1}{B}{R}
Detective's Satchel,uncommon,"['R', 'U']",2,"When this artifact enters, investigate twice. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
{T}: Create a 1/1 colorless Thopter artifact creature token with flying. Activate only if you've sacrificed an artifact this turn.",{2}{U}{R}
Drag the Canal,rare,"['B', 'U']",1,"Create a 2/2 white and blue Detective creature token. If a creature died this turn, you gain 2 life, surveil 2, then investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",{U}{B}
Ill-Timed Explosion,rare,"['R', 'U']",1,"Draw two cards. Then you may discard two cards. When you do, Ill-Timed Explosion deals X damage to each creature, where X is the greatest mana value among cards discarded this way.",{2}{U}{R}
Kylox's Voltstrider,mythic,"['R', 'U']",1,"Collect evidence 6: This Vehicle becomes an artifact creature until end of turn.
Whenever this Vehicle attacks, you may cast an instant or sorcery spell from among cards exiled with it. If that spell would be put into a graveyard, put it on the bottom of its owner's library instead.
Crew 2",{1}{U}{R}
Rune-Brand Juggler,uncommon,"['B', 'R']",2,"When this creature enters, suspect up to one target creature you control. (A suspected creature has menace and can't block.)
{3}{B}{R}, Sacrifice a suspected creature: Target creature gets -5/-5 until end of turn.",{B}{R}
Raucous Theater,rare,"['B', 'R']",1,"({T}: Add {B} or {R}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",
Undercity Sewers,rare,"['B', 'U']",2,"({T}: Add {U} or {B}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",
Torch the Witness,uncommon,['R'],2,"Torch the Witness deals twice X damage to target creature. If excess damage was dealt to that creature this way, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",{X}{R}
"Melek, Reforged Researcher",mythic,"['R', 'U']",1,"Melek's power and toughness are each equal to twice the number of instant and sorcery cards in your graveyard.
The first instant or sorcery spell you cast each turn costs {3} less to cast.",{3}{U}{R}
Paths of Tuinvale,uncommon,['U'],1,"Choose one or both —
• Return target creature you control to its owner's hand. That card perpetually gains ""This spell costs {1} less to cast.""
• Return target creature you don't control to its owner's hand. That card perpetually gains ""This spell costs {1} more to cast.""",{1}{U}
Talion's Throneguard,rare,['U'],1,"Flash
Bargain
Flying
When Talion's Throneguard enters, return up to one target spell or nonland permanent to its owner's hand. If Talion's Throneguard was bargained, that card perpetually gains ""This spell costs {2} more to cast.""",{2}{U}{U}
Draconic Debut,uncommon,['R'],2,"Draconic Debut deals X damage to any target.
The next Dragon creature spell you cast costs {X} less to cast.",{X}{R}
Victory of the Pyrohammer,rare,['R'],1,"(As this Saga enters and after your draw step add a lore counter. Sacrifice after III.)
I — Victory of the Pyrohammer deals 4 damage to each creature and each planeswalker. Victory of the Pyrohammer gains ""Damage isn't removed from creatures during cleanup steps.""
II, III — Victory of the Pyrohammer deals 1 damage to each creature and each planeswalker.",{3}{R}{R}
Outfitted Jouster,rare,"['B', 'R']",1,"When Outfitted Jouster enters, conjure a card named Steelclaw Lance and a card named Brawler's Plate onto the battlefield and attach them to Outfitted Jouster.
If damage would be dealt to Outfitted Jouster while it's equipped, prevent that damage. When damage is prevented this way, sacrifice an Equipment attached to Outfitted Jouster.",{2}{B}{R}
Landlore Navigator,uncommon,['U'],1,"Whenever Landlore Navigator attacks, create a Map token.
At the beginning of your end step, if two or more artifacts entered under your control this turn, conjure a card named Thieving Magpie onto the battlefield.",{1}{U}
Dusk's Landing,uncommon,['B'],1,"Draw a card. If an opponent lost life this turn and you gained life this turn, seek two Vampire cards instead.",{B}
"Kamachal, Ship's Mascot",rare,['R'],1,"Menace
{R}: Kamachal, Ship's Mascot gets +1/+0 until end of turn.
Whenever Kamachal deals combat damage to a player, create a Treasure token. Then exile from that player's library a random card with mana value equal to the damage dealt. You may cast that card this turn.",{2}{R}
Pirate's Landing,uncommon,['R'],2,"Draw a card. If mana from a Treasure was spent to cast this spell, seek a Pirate card instead.",{R}
Archmage's Newt,rare,['U'],1,"Whenever this creature deals combat damage to a player, target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost. That card gains flashback {0} until end of turn instead if this creature is saddled. (You may cast that card from your graveyard for its flashback cost. Then exile it.)
Saddle 3",{1}{U}
Canyon Crab,uncommon,['U'],2,"{1}{U}: This creature gets +2/-2 until end of turn.
At the beginning of your end step, if you haven't cast a spell from your hand this turn, draw a card, then discard a card.",{1}{U}
Djinn of Fool's Fall,common,['U'],3,"Flying
Plot {3}{U} (You may pay {3}{U} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",{4}{U}
Failed Fording,common,['U'],2,"Return target nonland permanent to its owner's hand. If you control a Desert, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",{1}{U}
Geyser Drake,common,['U'],1,"Flying
During turns other than yours, spells you cast cost {1} less to cast.",{2}{U}
Harrier Strix,common,['U'],1,"Flying
When this creature enters, tap target permanent.
{2}{U}: Draw a card, then discard a card.",{U}
The Key to the Vault,rare,['U'],1,"Whenever equipped creature deals combat damage to a player, look at that many cards from the top of your library. You may exile a nonland card from among them. Put the rest on the bottom of your library in a random order. You may cast the exiled card without paying its mana cost.
Equip {2}{U}",{1}{U}
Marauding Sphinx,uncommon,['U'],1,"Flying, vigilance, ward {2}
Whenever you commit a crime, surveil 2. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)",{3}{U}{U}
Nimble Brigand,uncommon,['U'],1,"This creature can't be blocked if you've committed a crime this turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)
Whenever this creature deals combat damage to a player, draw a card.",{2}{U}
Outlaw Stitcher,uncommon,['U'],1,"When this creature enters, create a 2/2 blue and black Zombie Rogue creature token, then put two +1/+1 counters on that token for each spell you've cast this turn other than the first.
Plot {4}{U} (You may pay {4}{U} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",{3}{U}
Peerless Ropemaster,common,['U'],1,"When this creature enters, return up to one target tapped creature to its owner's hand.",{4}{U}
Phantom Interference,common,['U'],1,"Spree (Choose one or more additional costs.)
+ {3} — Create a 2/2 white Spirit creature token with flying.
+ {1} — Counter target spell unless its controller pays {2}.",{U}
Razzle-Dazzler,common,['U'],2,"Whenever you cast your second spell each turn, put a +1/+1 counter on this creature. It can't be blocked this turn.",{1}{U}
Seize the Secrets,common,['U'],4,"This spell costs {1} less to cast if you've committed a crime this turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)
Draw two cards.",{2}{U}
Spring Splasher,common,['U'],1,"Whenever this creature attacks, target creature defending player controls gets -3/-0 until end of turn.",{1}{U}
Stop Cold,common,['U'],1,"Flash
Enchant artifact or creature
When this Aura enters, tap enchanted permanent.
Enchanted permanent loses all abilities and doesn't untap during its controller's untap step.",{3}{U}
This Town Ain't Big Enough,uncommon,['U'],1,"This spell costs {3} less to cast if it targets a permanent you control.
Return up to two target nonland permanents to their owners' hands.",{4}{U}
Three Steps Ahead,rare,['U'],2,"Spree (Choose one or more additional costs.)
+ {1}{U} — Counter target spell.
+ {3} — Create a token that's a copy of target artifact or creature you control.
+ {2} — Draw two cards, then discard a card.",{U}
Blacksnag Buzzard,common,['B'],1,"Flying
This creature enters with a +1/+1 counter on it if a creature died this turn.
Plot {1}{B} (You may pay {1}{B} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",{2}{B}
Boneyard Desecrator,common,['B'],3,"Menace
{1}{B}, Sacrifice another creature: Put a +1/+1 counter on this creature. If an outlaw was sacrificed this way, create a Treasure token. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)",{3}{B}
Consuming Ashes,common,['B'],2,"Exile target creature. If it had mana value 3 or less, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",{2}{B}{B}
"Kaervek, the Punisher",rare,['B'],1,"Whenever you commit a crime, exile up to one target black card from your graveyard and copy it. You may cast the copy. If you do, you lose 2 life. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime. Copies of permanent spells become tokens.)",{1}{B}{B}
Nezumi Linkbreaker,common,['B'],2,"When this creature dies, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""",{B}
Rakish Crew,uncommon,['B'],2,"When this enchantment enters, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""
Whenever an outlaw you control dies, each opponent loses 1 life and you gain 1 life. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)",{2}{B}
Rooftop Assassin,common,['B'],1,"Flash
Flying, lifelink
When this creature enters, destroy target creature an opponent controls that was dealt damage this turn.",{3}{B}
Rush of Dread,rare,['B'],1,"Spree (Choose one or more additional costs.)
+ {1} — Target opponent sacrifices half the creatures they control of their choice, rounded up.
+ {2} — Target opponent discards half the cards in their hand, rounded up.
+ {2} — Target opponent loses half their life, rounded up.",{1}{B}{B}
Shoot the Sheriff,uncommon,['B'],2,"Destroy target non-outlaw creature. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws. Everyone else is fair game.)",{1}{B}
"Tinybones, the Pickpocket",mythic,['B'],1,"Deathtouch
Whenever Tinybones deals combat damage to a player, you may cast target nonland permanent card from that player's graveyard, and mana of any type can be spent to cast that spell.",{B}
Treasure Dredger,uncommon,['B'],1,"{1}, {T}, Pay 1 life: Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",{1}{B}
"Vadmir, New Blood",rare,['B'],2,"Whenever you commit a crime, put a +1/+1 counter on Vadmir. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)
As long as Vadmir has four or more +1/+1 counters on it, it has menace and lifelink.",{1}{B}
Vault Plunderer,common,['B'],3,"When this creature enters, target player draws a card and loses 1 life.",{2}{B}
Deadeye Duelist,common,['R'],4,"Reach
{1}, {T}: This creature deals 1 damage to target opponent.",{1}{R}
Demonic Ruckus,uncommon,['R'],2,"Enchant creature
Enchanted creature gets +1/+1 and has menace and trample.
When this Aura is put into a graveyard from the battlefield, draw a card.
Plot {R} (You may pay {R} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",{1}{R}
Discerning Peddler,common,['R'],2,"When this creature enters, you may discard a card. If you do, draw a card.",{1}{R}
Great Train Heist,rare,['R'],1,"Spree (Choose one or more additional costs.)
+ {2}{R} — Untap all creatures you control. If it's your combat phase, there is an additional combat phase after this phase.
+ {2} — Creatures you control get +1/+0 and gain first strike until end of turn.
+ {R} — Choose target opponent. Whenever a creature you control deals combat damage to that player this turn, create a tapped Treasure token.",{R}
Hell to Pay,rare,['R'],2,Hell to Pay deals X damage to target creature. Create a number of tapped Treasure tokens equal to the amount of excess damage dealt to that creature this way.,{X}{R}
Hellspur Brute,uncommon,['R'],1,"Affinity for outlaws (This spell costs {1} less to cast for each Assassin, Mercenary, Pirate, Rogue, and/or Warlock you control.)
Trample",{4}{R}
Hellspur Posse Boss,rare,['R'],1,"Other outlaws you control have haste. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)
When this creature enters, create two 1/1 red Mercenary creature tokens with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""",{2}{R}{R}
Irascible Wolverine,common,['R'],1,"When this creature enters, exile the top card of your library. Until end of turn, you may play that card.
Plot {2}{R} (You may pay {2}{R} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",{2}{R}
Iron-Fist Pulverizer,common,['R'],1,"Reach
Whenever you cast your second spell each turn, this creature deals 2 damage to target opponent. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)",{4}{R}
"Magda, the Hoardmaster",rare,['R'],1,"Whenever you commit a crime, create a tapped Treasure token. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)
Sacrifice three Treasures: Create a 4/4 red Scorpion Dragon creature token with flying and haste. Activate only as a sorcery.",{1}{R}
Mine Raider,common,['R'],2,"Trample
When this creature enters, if you control another outlaw, create a Treasure token. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws. A Treasure token is an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",{2}{R}
Outlaws' Fury,common,['R'],3,"Creatures you control get +2/+0 until end of turn. If you control an outlaw, exile the top card of your library. Until the end of your next turn, you may play that card. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)",{2}{R}
Quick Draw,common,['R'],1,Target creature you control gets +1/+1 and gains first strike until end of turn. Creatures target opponent controls lose first strike and double strike until end of turn.,{R}
Quilled Charger,common,['R'],1,"Whenever this creature attacks while saddled, it gets +1/+2 and gains menace until end of turn. (It can't be blocked except by two or more creatures.)
Saddle 2 (Tap any number of other creatures you control with total power 2 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",{3}{R}
Reckless Lackey,common,['R'],3,"First strike, haste
{2}{R}, Sacrifice this creature: Draw a card and create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",{R}
Rodeo Pyromancers,common,['R'],3,"Whenever you cast your first spell each turn, add {R}{R}.",{3}{R}
Scorching Shot,uncommon,['R'],2,Scorching Shot deals 5 damage to target creature.,{R}{R}
Take for a Ride,uncommon,['R'],1,"Take for a Ride has flash as long as you've committed a crime this turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)
Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.",{2}{R}
Terror of the Peaks,rare,['R'],1,"Flying
Spells your opponents cast that target this creature cost an additional 3 life to cast.
Whenever another creature you control enters, this creature deals damage equal to that creature's power to any target.",{3}{R}{R}
Thunder Salvo,common,['R'],3,"Thunder Salvo deals X damage to target creature, where X is 2 plus the number of other spells you've cast this turn.",{1}{R}
Trick Shot,common,['R'],2,Trick Shot deals 6 damage to target creature and 2 damage to up to one other target creature token.,{4}{R}
"Breeches, the Blastmaker",rare,"['R', 'U']",2,"Menace
Whenever you cast your second spell each turn, you may sacrifice an artifact. If you do, flip a coin. When you win the flip, copy that spell. You may choose new targets for the copy. When you lose the flip, Breeches deals damage equal to that spell's mana value to any target.",{1}{U}{R}
"Kraum, Violent Cacophony",uncommon,"['R', 'U']",1,"Flying
Whenever you cast your second spell each turn, put a +1/+1 counter on Kraum and draw a card.",{2}{U}{R}
Laughing Jasper Flint,rare,"['B', 'R']",1,"Creatures you control but don't own are Mercenaries in addition to their other types.
At the beginning of your upkeep, exile the top X cards of target opponent's library, where X is the number of outlaws you control. Until end of turn, you may cast spells from among those cards, and mana of any type can be spent to cast those spells.",{1}{B}{R}
"Malcolm, the Eyes",rare,"['R', 'U']",1,"Flying, haste
Whenever you cast your second spell each turn, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",{U}{R}
Rakdos Joins Up,rare,"['B', 'R']",1,"When Rakdos Joins Up enters, return target creature card from your graveyard to the battlefield with two additional +1/+1 counters on it.
Whenever a legendary creature you control dies, Rakdos Joins Up deals damage equal to that creature's power to target opponent.",{3}{B}{R}
Slick Sequence,uncommon,"['R', 'U']",2,"Slick Sequence deals 2 damage to any target. If you've cast another spell this turn, draw a card.",{U}{R}
"Vial Smasher, Gleeful Grenadier",uncommon,"['B', 'R']",1,"Whenever another outlaw you control enters, Vial Smasher deals 1 damage to target opponent. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)",{B}{R}
Eroded Canyon,common,"['R', 'U']",4,"This land enters tapped.
When this land enters, it deals 1 damage to target opponent.
{T}: Add {U} or {R}.",
Jagged Barrens,common,"['B', 'R']",4,"This land enters tapped.
When this land enters, it deals 1 damage to target opponent.
{T}: Add {B} or {R}.",
Soured Springs,common,"['B', 'U']",4,"This land enters tapped.
When this land enters, it deals 1 damage to target opponent.
{T}: Add {U} or {B}.",
Spirebluff Canal,rare,"['R', 'U']",1,"This land enters tapped unless you control two or fewer other lands.
{T}: Add {U} or {R}.",
Worldwalker Helm,mythic,['U'],1,"If you would create one or more artifact tokens, instead create those tokens plus an additional Map token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery."")
{1}{U}, {T}: Create a token that's a copy of target artifact token you control.",{2}{U}
Lurking Spinecrawler,uncommon,['B'],1,"When Lurking Spinecrawler enters, you may choose a nonland card in your hand. If you do, that card perpetually incorporates {1}{B} and gains ""When you cast this spell, each opponent sacrifices a creature. Each opponent who can't discards a card.""
Whenever you cast a multicolored spell, for each of that spell's colors, each opponent loses 1 life and you gain 1 life.",{3}{B}
Case of the Market Melee,uncommon,['R'],1,"When this Case enters, it deals 1 damage to any target.
Damage isn't removed from creatures during cleanup steps.
To solve — Three or more creatures are damaged.
Solved — Whenever you attack with one or more creatures, this Case deals that much damage divided as you choose among any number of targets.",{1}{R}
Shove Aside,uncommon,['R'],1,"If you aren't the starting player, you may cast Shove Aside as though it had flash.
Shove Aside deals 3 damage to target creature or planeswalker.",{R}
A-Geological Appraiser,uncommon,['R'],2,"When Geological Appraiser enters, if you cast it, discover 3. (Exile cards from the top of your library until you exile a nonland card with mana value 3 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",{3}{R}{R}
Intruder's Inquisition,uncommon,"['B', 'R']",1,"Target creature you control deals damage equal to its power to target creature an opponent controls. If excess damage was dealt to a creature this way, its controller discards a card with the greatest mana value among cards in their hand.",{B}{R}
Cathartic Operation,uncommon,"['B', 'U']",2,"Return up to two target creature cards from your graveyard to your hand, then seek two noncreature, nonland cards.",{3}{U}{B}
"Rankle, Pitiless Trickster",mythic,['B'],1,"Flying
Rankle has lifelink and haste as long as an opponent controls no creatures.
When Rankle enters, you may pay 1 life. When you do, each player discards a card and sacrifices a creature.
Whenever a player discards a card, Rankle perpetually gets +1/+0.",{1}{B}{B}
Switchgrass Grazer,uncommon,['R'],1,"Haste
Whenever Switchgrass Grazer attacks, it deals 1 damage to any target. If Switchgrass Grazer is saddled and a creature was dealt damage this way, that creature perpetually gains ""This creature can't block"" and ""Damage isn't removed from this creature during cleanup steps.""
Saddle 1",{2}{R}{R}
Thieving Aven,uncommon,['U'],2,"Flying
Whenever Thieving Aven deals combat damage to a player, heist target opponent's library.
Whenever you cast a spell you don't own, put a +1/+1 counter on Thieving Aven.",{2}{U}
Impetuous Lootmonger,uncommon,['R'],1,"First strike
When Impetuous Lootmonger enters, discard a card, then heist target opponent's library.
Whenever you cast a spell you don't own, create a tapped Treasure token.",{1}{R}
Triumphant Getaway,rare,"['B', 'R', 'U']",1,"Flash
When Triumphant Getaway enters, heist target opponent's library twice.
Whenever you cast a spell you don't own, each opponent loses 2 life and you gain 2 life.",{1}{U}{B}{R}
Bellowing Crier,common,['U'],3,"When this creature enters, draw a card, then discard a card.",{1}{U}
Calamitous Tide,uncommon,['U'],1,"Return up to two target creatures to their owners' hands. Draw two cards, then discard a card.",{4}{U}{U}
Daring Waverider,uncommon,['U'],1,"When this creature enters, you may cast target instant or sorcery card with mana value 4 or less from your graveyard without paying its mana cost. If that spell would be put into your graveyard, exile it instead.",{4}{U}{U}
Dazzling Denial,common,['U'],2,"Counter target spell unless its controller pays {2}. If you control a Bird, counter that spell unless its controller pays {4} instead.",{1}{U}
Eddymurk Crab,uncommon,['U'],1,"Flash
This spell costs {1} less to cast for each instant and sorcery card in your graveyard.
This creature enters tapped if it's not your turn.
When this creature enters, tap up to two target creatures.",{5}{U}{U}
"Eluge, the Shoreless Sea",mythic,['U'],1,"Eluge's power and toughness are each equal to the number of Islands you control.
Whenever Eluge enters or attacks, put a flood counter on target land. It's an Island in addition to its other types for as long as it has a flood counter on it.
The first instant or sorcery spell you cast each turn costs {U} (or {1}) less to cast for each land you control with a flood counter on it.",{1}{U}{U}{U}
Finch Formation,common,['U'],2,"Offspring {3} (You may pay an additional {3} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Flying
When this creature enters, target creature you control gains flying until end of turn.",{2}{U}
Gossip's Talent,uncommon,['U'],1,"(Gain the next level as a sorcery to add its ability.)
Whenever a creature you control enters, surveil 1.
{1}{U}: Level 2
Whenever you attack, target attacking creature with power 3 or less can't be blocked this turn.
{3}{U}: Level 3
Whenever a creature you control deals combat damage to a player, you may exile it, then return it to the battlefield under its owner's control.",{1}{U}
Lightshell Duo,common,['U'],2,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",{3}{U}
Mind Spiral,common,['U'],2,"Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. If you do, they create a tapped 1/1 blue Fish creature token before its other effects.)
Target player draws three cards. If the gift was promised, tap target creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",{4}{U}
Mockingbird,rare,['U'],1,"Flying
You may have this creature enter as a copy of any creature on the battlefield with mana value less than or equal to the amount of mana spent to cast this creature, except it's a Bird in addition to its other types and it has flying.",{X}{U}
Nightwhorl Hermit,common,['U'],1,"Vigilance
Threshold — As long as seven or more cards are in your graveyard, this creature gets +1/+0 and can't be blocked.",{2}{U}
Otterball Antics,uncommon,['U'],2,"Create a 1/1 blue and red Otter creature token with prowess. If this spell was cast from anywhere other than your hand, put a +1/+1 counter on that creature. (Whenever you cast a noncreature spell, a creature with prowess gets +1/+1 until end of turn.)
Flashback {3}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{1}{U}
Pearl of Wisdom,common,['U'],4,"This spell costs {1} less to cast if you control an Otter.
Draw two cards.",{2}{U}
Portent of Calamity,rare,['U'],1,"Reveal the top X cards of your library. For each card type, you may exile a card of that type from among them. Put the rest into your graveyard. You may cast a spell from among the exiled cards without paying its mana cost if you exiled four or more cards this way. Then put the rest of the exiled cards into your hand.",{X}{U}
Run Away Together,common,['U'],4,Choose two target creatures controlled by different players. Return those creatures to their owners' hands.,{1}{U}
Shoreline Looter,uncommon,['U'],4,"This creature can't be blocked.
Threshold — Whenever this creature deals combat damage to a player, draw a card. Then discard a card unless seven or more cards are in your graveyard.",{1}{U}
Skyskipper Duo,common,['U'],1,"Flying
When this creature enters, exile up to one other target creature you control. Return it to the battlefield under its owner's control at the beginning of the next end step.",{4}{U}
Stormchaser's Talent,rare,['U'],1,"(Gain the next level as a sorcery to add its ability.)
When this Class enters, create a 1/1 blue and red Otter creature token with prowess.
{3}{U}: Level 2
When this Class becomes level 2, return target instant or sorcery card from your graveyard to your hand.
{5}{U}: Level 3
Whenever you cast an instant or sorcery spell, create a 1/1 blue and red Otter creature token with prowess.",{U}
Thought Shucker,common,['U'],1,Threshold — {1}{U}: Put a +1/+1 counter on this creature and draw a card. Activate only if seven or more cards are in your graveyard and only once.,{1}{U}
Waterspout Warden,common,['U'],3,"Whenever this creature attacks, if another creature entered the battlefield under your control this turn, this creature gains flying until end of turn.",{2}{U}
Agate-Blade Assassin,common,['B'],3,"Whenever this creature attacks, defending player loses 1 life and you gain 1 life.",{1}{B}
Bandit's Talent,uncommon,['B'],1,"(Gain the next level as a sorcery to add its ability.)
When this Class enters, each opponent discards two cards unless they discard a nonland card.
{B}: Level 2
At the beginning of each opponent's upkeep, if that player has one or fewer cards in hand, they lose 2 life.
{3}{B}: Level 3
At the beginning of your draw step, draw an additional card for each opponent who has one or fewer cards in hand.",{1}{B}
Bonebind Orator,common,['B'],1,"{3}{B}, Exile this card from your graveyard: Return another target creature card from your graveyard to your hand.",{1}{B}
Daggerfang Duo,common,['B'],3,"Deathtouch
When this creature enters, you may mill two cards. (You may put the top two cards of your library into your graveyard.)",{2}{B}
